Time Series artificial accelerogram: 1
 
Time Step: 0.01000 s
 
     Time(sec)	        Acc(g)	                              
       6.02000	      -0.00542	                              
       6.03000	       0.00098	                              
       6.04000	       0.01800	                              
       6.05000	       0.04392	                              
       6.06000	       0.07168	                              
       6.07000	       0.09322	                              
       6.08000	       0.10415	                              
       6.09000	       0.10594	                              
       6.10000	       0.10380	                              
       6.11000	       0.10406	                              
       6.12000	       0.11108	                              
       6.13000	       0.12557	                              
       6.14000	       0.14423	                              
       6.15000	       0.16167	                              
       6.16000	       0.17297	                              
       6.17000	       0.17561	                              
       6.18000	       0.16938	                              
       6.19000	       0.15528	                              
       6.20000	       0.13474	                              
       6.21000	       0.10991	                              
       6.22000	       0.08418	                              
       6.23000	       0.06168	                              
       6.24000	       0.04570	                              
       6.25000	       0.03713	                              
       6.26000	       0.03382	                              
       6.27000	       0.03140	                              
       6.28000	       0.02537	                              
       6.29000	       0.01380	                              
       6.30000	      -0.00128	                              
       6.31000	      -0.01470	                              
       6.32000	      -0.02119	                              
       6.33000	      -0.01844	                              
       6.34000	      -0.00870	                              
       6.35000	       0.00236	                              
       6.36000	       0.00833	                              
       6.37000	       0.00566	                              
       6.38000	      -0.00434	                              
       6.39000	      -0.01544	                              
       6.40000	      -0.01984	                              
       6.41000	      -0.01243	                              
       6.42000	       0.00554	                              
       6.43000	       0.02837	                              
       6.44000	       0.04904	                              
       6.45000	       0.06371	                              
       6.46000	       0.07242	                              
       6.47000	       0.07722	                              
       6.48000	       0.07975	                              
       6.49000	       0.08285	                              
       6.50000	       0.09048	                              
       6.51000	       0.10712	                              
       6.52000	       0.12112	                              
       6.53000	       0.11696	                              
       6.54000	       0.10365	                              
       6.55000	       0.08740	                              
       6.56000	       0.08015	                              
       6.57000	       0.08125	                              
       6.58000	       0.08079	                              
       6.59000	       0.07600	                              
       6.60000	       0.06911	                              
       6.61000	       0.06316	                              
       6.62000	       0.05866	                              
       6.63000	       0.05473	                              
       6.64000	       0.05053	                              
       6.65000	       0.04725	                              
       6.66000	       0.04715	                              
       6.67000	       0.05195	                              
       6.68000	       0.06114	                              
       6.69000	       0.07221	                              
       6.70000	       0.08150	                              
       6.71000	       0.08601	                              
